model,hit,merge,hit_ms,merge_ms,agree
chain_unary_n32_k1_nondef_mix_i23.model,DEFINABLE,DEFINABLE,2.381,1.336,1
chain_unary_n32_k1_nondef_mix_i24.model,DEFINABLE,DEFINABLE,2.178,1.287,1
chain_unary_n32_k1_nondef_mix_i25.model,DEFINABLE,DEFINABLE,2.345,1.434,1
chain_unary_n32_k1_nondef_mix_i26.model,DEFINABLE,DEFINABLE,2.230,1.368,1
chain_unary_n32_k1_nondef_mix_i27.model,DEFINABLE,DEFINABLE,2.157,1.684,1
chain_unary_n32_k1_nondef_mix_i28.model,DEFINABLE,DEFINABLE,2.134,1.545,1
chain_unary_n32_k1_nondef_mix_i29.model,DEFINABLE,DEFINABLE,2.307,1.557,1
chain_unary_n32_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,2.217,1.683,1
chain_unary_n32_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,2.443,1.351,1
chain_unary_n32_k1_nondef_mix_i5.model,DEFINABLE,DEFINABLE,2.413,1.126,1
chain_unary_n32_k1_nondef_mix_i6.model,DEFINABLE,DEFINABLE,2.504,1.140,1
chain_unary_n32_k1_nondef_mix_i7.model,DEFINABLE,DEFINABLE,2.396,1.328,1
chain_unary_n32_k1_nondef_mix_i8.model,DEFINABLE,DEFINABLE,2.558,1.610,1
chain_unary_n32_k1_nondef_mix_i9.model,DEFINABLE,DEFINABLE,2.377,1.186,1
chain_unary_n4_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,0.326,0.090,1
chain_unary_n4_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,0.444,0.116,1
chain_unary_n4_k1_definable_fixed_i10.model,DEFINABLE,DEFINABLE,0.406,0.080,1
chain_unary_n4_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,0.382,0.075,1
chain_unary_n4_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,0.250,0.060,1
chain_unary_n4_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,0.336,0.076,1
chain_unary_n4_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,0.253,0.086,1
chain_unary_n4_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,0.271,0.083,1
chain_unary_n4_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,0.297,0.116,1
chain_unary_n4_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,0.406,0.070,1
chain_unary_n4_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,0.360,0.071,1
chain_unary_n4_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,0.408,0.071,1
chain_unary_n4_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.335,0.058,1
chain_unary_n4_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,0.346,0.094,1
chain_unary_n4_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,0.312,0.083,1
chain_unary_n4_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,0.385,0.077,1
chain_unary_n4_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,0.300,0.059,1
chain_unary_n4_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,0.257,0.057,1
chain_unary_n4_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,0.246,0.083,1
chain_unary_n4_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,0.266,0.095,1
chain_unary_n4_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,0.409,0.072,1
chain_unary_n4_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,0.284,0.087,1
chain_unary_n4_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,0.454,0.094,1
chain_unary_n4_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.392,0.058,1
chain_unary_n4_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,0.272,0.072,1
chain_unary_n4_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,0.365,0.077,1
chain_unary_n4_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,0.428,0.071,1
chain_unary_n4_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,0.429,0.061,1
chain_unary_n4_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,0.442,0.087,1
chain_unary_n4_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,0.295,0.083,1
chain_unary_n4_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.399,0.065,1
chain_unary_n4_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.478,0.073,1
chain_unary_n4_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,0.265,0.085,1
