model,hit,merge,hit_ms,merge_ms,agree
random_magma_n16_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,2.277,1.073,1
random_magma_n16_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,1.973,1.018,1
random_magma_n16_k1_random_half_i0.model,DEFINABLE,DEFINABLE,2.177,1.113,1
random_magma_n16_k1_random_half_i1.model,DEFINABLE,DEFINABLE,2.268,1.137,1
random_magma_n16_k1_random_half_i2.model,DEFINABLE,DEFINABLE,2.177,1.169,1
random_magma_n16_k1_random_half_i3.model,DEFINABLE,DEFINABLE,1.934,1.010,1
random_magma_n16_k1_random_half_i4.model,DEFINABLE,DEFINABLE,2.053,1.042,1
random_magma_n16_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,1.127,1.085,1
random_magma_n16_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,1.117,1.109,1
random_magma_n16_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,1.215,1.110,1
random_magma_n16_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,1.130,1.083,1
random_magma_n16_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,1.220,1.063,1
random_magma_n16_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,35.134,18.631,1
random_magma_n16_k2_nondef_mix_i1.model,NOT_DEFINABLE,NOT_DEFINABLE,1.139,19.985,1
random_magma_n16_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,36.314,19.986,1
random_magma_n16_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,35.285,19.585,1
random_magma_n16_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,39.520,21.027,1
random_magma_n16_k2_random_half_i0.model,NOT_DEFINABLE,NOT_DEFINABLE,0.866,21.293,1
random_magma_n16_k2_random_half_i1.model,DEFINABLE,DEFINABLE,34.931,19.392,1
random_magma_n16_k2_random_half_i2.model,DEFINABLE,DEFINABLE,37.143,19.557,1
random_magma_n16_k2_random_half_i3.model,DEFINABLE,DEFINABLE,37.254,17.906,1
random_magma_n16_k2_random_half_i4.model,DEFINABLE,DEFINABLE,35.926,19.333,1
random_magma_n32_k1_definable_eq_i0.model,NOT_DEFINABLE,NOT_DEFINABLE,0.026,0.184,1
random_magma_n32_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,13.368,11.141,1
random_magma_n32_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,13.527,7.207,1
random_magma_n32_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,12.852,7.844,1
random_magma_n32_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,13.506,7.600,1
random_magma_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,14.404,10.855,1
random_magma_n32_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,12.092,12.031,1
random_magma_n32_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,14.027,8.467,1
random_magma_n32_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,13.147,7.396,1
random_magma_n32_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,13.014,7.436,1
random_magma_n32_k1_random_half_i0.model,NOT_DEFINABLE,NOT_DEFINABLE,6.269,6.738,1
random_magma_n32_k1_random_half_i1.model,DEFINABLE,DEFINABLE,12.654,7.597,1
random_magma_n32_k1_random_half_i2.model,DEFINABLE,DEFINABLE,12.029,7.287,1
random_magma_n32_k1_random_half_i3.model,DEFINABLE,DEFINABLE,11.592,7.090,1
random_magma_n32_k1_random_half_i4.model,DEFINABLE,DEFINABLE,14.111,7.405,1
random_magma_n32_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,6.821,6.349,1
random_magma_n32_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,7.073,7.347,1
random_magma_n32_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,6.980,7.096,1
random_magma_n32_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,7.945,7.367,1
random_magma_n32_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,7.211,7.408,1
random_magma_n32_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,253.000,320.101,1
random_magma_n32_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,241.984,325.661,1
random_magma_n32_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,265.194,298.606,1
random_magma_n32_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,242.918,298.234,1
random_magma_n32_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,248.948,327.147,1
random_magma_n32_k2_random_half_i0.model,DEFINABLE,DEFINABLE,262.693,298.340,1
random_magma_n32_k2_random_half_i1.model,DEFINABLE,DEFINABLE,243.500,298.173,1
random_magma_n32_k2_random_half_i2.model,DEFINABLE,DEFINABLE,232.006,328.027,1
random_magma_n32_k2_random_half_i3.model,DEFINABLE,DEFINABLE,248.573,326.913,1
random_magma_n32_k2_random_half_i4.model,DEFINABLE,DEFINABLE,251.553,298.249,1
random_magma_n4_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.113,0.143,1
random_magma_n4_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.114,0.153,1
random_magma_n4_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.118,0.150,1
random_magma_n4_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.097,0.142,1
random_magma_n4_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.109,0.154,1
random_magma_n4_k1_nondef_mix_i0.model,NOT_DEFINABLE,NOT_DEFINABLE,0.066,0.180,1
random_magma_n4_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.099,0.150,1
random_magma_n4_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.140,0.144,1
random_magma_n4_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.117,0.143,1
random_magma_n4_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.138,0.142,1
random_magma_n4_k1_random_half_i0.model,DEFINABLE,DEFINABLE,0.094,0.162,1
random_magma_n4_k1_random_half_i1.model,DEFINABLE,DEFINABLE,0.125,0.151,1
random_magma_n4_k1_random_half_i2.model,DEFINABLE,DEFINABLE,0.146,0.159,1
random_magma_n4_k1_random_half_i3.model,DEFINABLE,DEFINABLE,0.046,0.143,1
random_magma_n4_k1_random_half_i4.model,DEFINABLE,DEFINABLE,0.063,0.167,1
