engine,model,ms,result
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i1.model,0.172,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i2.model,0.154,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i3.model,0.172,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i4.model,0.159,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i0.model,0.548,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i1.model,0.575,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i2.model,0.596,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i3.model,0.544,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i4.model,0.547,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i0.model,4.685,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i1.model,1.454,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i2.model,1.232,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i3.model,1.090,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i4.model,1.163,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i0.model,1.094,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i1.model,1.073,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i2.model,1.150,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i3.model,1.073,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i4.model,1.018,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i0.model,1.113,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i1.model,1.137,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i2.model,1.169,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i3.model,1.010,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i4.model,1.042,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i0.model,1.085,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i1.model,1.109,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i2.model,1.110,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i3.model,1.083,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i4.model,1.063,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i0.model,18.631,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i1.model,19.985,NOT_DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i2.model,19.986,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i3.model,19.585,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i4.model,21.027,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i0.model,21.293,NOT_DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i1.model,19.392,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i2.model,19.557,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i3.model,17.906,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i4.model,19.333,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i0.model,0.184,NOT_DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i1.model,11.141,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i2.model,7.207,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i3.model,7.844,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i4.model,7.600,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i0.model,10.855,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i1.model,12.031,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i2.model,8.467,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i3.model,7.396,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i4.model,7.436,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i0.model,6.738,NOT_DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i1.model,7.597,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i2.model,7.287,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i3.model,7.090,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i4.model,7.405,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i0.model,6.349,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i1.model,7.347,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i2.model,7.096,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i3.model,7.367,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i4.model,7.408,DEFINABLE
