engine,model,ms,result
hit,benches/scale/corpus/pilot/random_magma_n8_k2_nondef_mix_i0.model,2.777,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_nondef_mix_i1.model,3.378,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_nondef_mix_i2.model,2.615,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_nondef_mix_i3.model,2.779,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_nondef_mix_i4.model,3.132,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_random_half_i0.model,3.267,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_random_half_i1.model,0.077,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_random_half_i2.model,3.081,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_random_half_i3.model,2.664,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_random_half_i4.model,4.008,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_random_half_i4.model,0.063,DEFINABLE
