model,target,arity,unary_decision,has_nonunary_ops,would_early_exit,reason
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,1,2,3|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,3|1|2|a3",3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,2|1,3|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,3|1,2|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,1,3|2|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0|1|2,3|a3",3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,1|2,3|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/estres_paralelo.model,"T0|0,1|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/estres_paralelo.model,T0|0|1|a2,2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/gigante.model,"T0|0,1|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/gigante.model,T0|0|1|a2,2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/malvada.model,T0|0|1|a2,2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/malvada.model,"T0|0,1|a1",1,Skip,true,false,skip
